sample_index,time_ms,temperature_c,temperature_raw_int16,pressure_pa,voltage_v,frame_hex
59,1180,22.32,2232,101725,3.276462,AA 55 B8 08 5D 8D 01 00 8F B1 51 40 0D 0A
60,1200,22.06,2206,101678,3.300000,AA 55 9E 08 2E 8D 01 00 33 33 53 40 0D 0A
61,1220,21.81,2181,101629,3.323538,AA 55 85 08 FD 8C 01 00 D8 B4 54 40 0D 0A
62,1240,21.58,2158,101580,3.346930,AA 55 6E 08 CC 8C 01 00 1B 34 56 40 0D 0A
63,1260,21.36,2136,101531,3.370034,AA 55 58 08 9B 8C 01 00 A1 AE 57 40 0D 0A
64,1280,21.15,2115,101481,3.392705,AA 55 43 08 69 8C 01 00 15 22 59 40 0D 0A
65,1300,20.95,2095,101432,3.414805,AA 55 2F 08 38 8C 01 00 2A 8C 5A 40 0D 0A
66,1320,20.78,2078,101381,3.436197,AA 55 1E 08 05 8C 01 00 A7 EA 5B 40 0D 0A
67,1340,20.62,2062,101331,3.456750,AA 55 0E 08 D3 8B 01 00 63 3B 5D 40 0D 0A
68,1360,20.48,2048,101281,3.476336,AA 55 00 08 A1 8B 01 00 48 7C 5E 40 0D 0A
69,1380,20.35,2035,101231,3.494834,AA 55 F3 07 6F 8B 01 00 5E AB 5F 40 0D 0A
70,1400,20.24,2024,101181,3.512132,AA 55 E8 07 3D 8B 01 00 C5 C6 60 40 0D 0A
71,1420,20.16,2016,101131,3.528122,AA 55 E0 07 0B 8B 01 00 BF CC 61 40 0D 0A
72,1440,20.09,2009,101081,3.542705,AA 55 D9 07 D9 8A 01 00 AE BB 62 40 0D 0A
73,1460,20.04,2004,101033,3.555792,AA 55 D4 07 A9 8A 01 00 19 92 63 40 0D 0A
74,1480,20.01,2001,100984,3.567302,AA 55 D1 07 78 8A 01 00 AD 4E 64 40 0D 0A
75,1500,20.00,2000,100936,3.577164,AA 55 D0 07 48 8A 01 00 41 F0 64 40 0D 0A
76,1520,20.01,2001,100889,3.585317,AA 55 D1 07 19 8A 01 00 D5 75 65 40 0D 0A
77,1540,20.04,2004,100843,3.591711,AA 55 D4 07 EB 89 01 00 98 DE 65 40 0D 0A
78,1560,20.09,2009,100797,3.596307,AA 55 D9 07 BD 89 01 00 E3 29 66 40 0D 0A
79,1580,20.16,2016,100752,3.599075,AA 55 E0 07 90 89 01 00 40 57 66 40 0D 0A
80,1600,20.24,2024,100709,3.600000,AA 55 E8 07 65 89 01 00 66 66 66 40 0D 0A
81,1620,20.35,2035,100666,3.599075,AA 55 F3 07 3A 89 01 00 40 57 66 40 0D 0A
82,1640,20.48,2048,100625,3.596307,AA 55 00 08 11 89 01 00 E3 29 66 40 0D 0A
83,1660,20.62,2062,100584,3.591711,AA 55 0E 08 E8 88 01 00 98 DE 65 40 0D 0A
84,1680,20.78,2078,100546,3.585317,AA 55 1E 08 C2 88 01 00 D5 75 65 40 0D 0A
85,1700,20.95,2095,100508,3.577164,AA 55 2F 08 9C 88 01 00 41 F0 64 40 0D 0A
86,1720,21.15,2115,100472,3.567302,AA 55 43 08 78 88 01 00 AD 4E 64 40 0D 0A
87,1740,21.36,2136,100437,3.555792,AA 55 58 08 55 88 01 00 19 92 63 40 0D 0A
88,1760,21.58,2158,100404,3.542705,AA 55 6E 08 34 88 01 00 AE BB 62 40 0D 0A
89,1780,21.81,2181,100373,3.528122,AA 55 85 08 15 88 01 00 BF CC 61 40 0D 0A
90,1800,22.06,2206,100343,3.512132,AA 55 9E 08 F7 87 01 00 C5 C6 60 40 0D 0A
91,1820,22.32,2232,100315,3.494834,AA 55 B8 08 DB 87 01 00 5E AB 5F 40 0D 0A
92,1840,22.59,2259,100289,3.476336,AA 55 D3 08 C1 87 01 00 48 7C 5E 40 0D 0A
93,1860,22.87,2287,100264,3.456750,AA 55 EF 08 A8 87 01 00 63 3B 5D 40 0D 0A
94,1880,23.16,2316,100242,3.436197,AA 55 0C 09 92 87 01 00 A7 EA 5B 40 0D 0A
95,1900,23.45,2345,100221,3.414805,AA 55 29 09 7D 87 01 00 2A 8C 5A 40 0D 0A
96,1920,23.76,2376,100202,3.392705,AA 55 48 09 6A 87 01 00 15 22 59 40 0D 0A
97,1940,24.06,2406,100186,3.370034,AA 55 66 09 5A 87 01 00 A1 AE 57 40 0D 0A
98,1960,24.37,2437,100171,3.346930,AA 55 85 09 4B 87 01 00 1B 34 56 40 0D 0A
99,1980,24.69,2469,100158,3.323538,AA 55 A5 09 3E 87 01 00 D8 B4 54 40 0D 0A
100,2000,25.00,2500,100147,3.300000,AA 55 C4 09 33 87 01 00 33 33 53 40 0D 0A
101,2020,25.31,2531,100139,3.276462,AA 55 E3 09 2B 87 01 00 8F B1 51 40 0D 0A
102,2040,25.63,2563,100132,3.253070,AA 55 03 0A 24 87 01 00 4B 32 50 40 0D 0A
103,2060,25.94,2594,100128,3.229966,AA 55 22 0A 20 87 01 00 C5 B7 4E 40 0D 0A
104,2080,26.24,2624,100125,3.207295,AA 55 40 0A 1D 87 01 00 52 44 4D 40 0D 0A
105,2100,26.55,2655,100125,3.185195,AA 55 5F 0A 1D 87 01 00 3C DA 4B 40 0D 0A
106,2120,26.84,2684,100127,3.163803,AA 55 7C 0A 1F 87 01 00 BF 7B 4A 40 0D 0A
107,2140,27.13,2713,100131,3.143250,AA 55 99 0A 23 87 01 00 04 2B 49 40 0D 0A
108,2160,27.41,2741,100137,3.123664,AA 55 B5 0A 29 87 01 00 1E EA 47 40 0D 0A
109,2180,27.68,2768,100145,3.105166,AA 55 D0 0A 31 87 01 00 08 BB 46 40 0D 0A
110,2200,27.94,2794,100155,3.087868,AA 55 EA 0A 3B 87 01 00 A1 9F 45 40 0D 0A
111,2220,28.19,2819,100168,3.071878,AA 55 03 0B 48 87 01 00 A7 99 44 40 0D 0A
112,2240,28.42,2842,100182,3.057295,AA 55 1A 0B 56 87 01 00 B8 AA 43 40 0D 0A
113,2260,28.64,2864,100198,3.044208,AA 55 30 0B 66 87 01 00 4E D4 42 40 0D 0A
114,2280,28.85,2885,100216,3.032698,AA 55 45 0B 78 87 01 00 BA 17 42 40 0D 0A
115,2300,29.05,2905,100237,3.022836,AA 55 59 0B 8D 87 01 00 26 76 41 40 0D 0A
116,2320,29.22,2922,100259,3.014683,AA 55 6A 0B A3 87 01 00 91 F0 40 40 0D 0A
117,2340,29.38,2938,100283,3.008289,AA 55 7A 0B BB 87 01 00 CF 87 40 40 0D 0A
118,2360,29.52,2952,100309,3.003693,AA 55 88 0B D5 87 01 00 84 3C 40 40 0D 0A
119,2380,29.65,2965,100336,3.000925,AA 55 95 0B F0 87 01 00 27 0F 40 40 0D 0A
120,2400,29.76,2976,100365,3.000000,AA 55 A0 0B 0D 88 01 00 00 00 40 40 0D 0A
121,2420,29.84,2984,100396,3.000925,AA 55 A8 0B 2C 88 01 00 27 0F 40 40 0D 0A
122,2440,29.91,2991,100429,3.003693,AA 55 AF 0B 4D 88 01 00 84 3C 40 40 0D 0A
123,2460,29.96,2996,100463,3.008289,AA 55 B4 0B 6F 88 01 00 CF 87 40 40 0D 0A
124,2480,29.99,2999,100499,3.014683,AA 55 B7 0B 93 88 01 00 91 F0 40 40 0D 0A
125,2500,30.00,3000,100536,3.022836,AA 55 B8 0B B8 88 01 00 26 76 41 40 0D 0A
126,2520,29.99,2999,100575,3.032698,AA 55 B7 0B DF 88 01 00 BA 17 42 40 0D 0A
127,2540,29.96,2996,100615,3.044208,AA 55 B4 0B 07 89 01 00 4E D4 42 40 0D 0A
128,2560,29.91,2991,100656,3.057295,AA 55 AF 0B 30 89 01 00 B8 AA 43 40 0D 0A
129,2580,29.84,2984,100698,3.071878,AA 55 A8 0B 5A 89 01 00 A7 99 44 40 0D 0A
130,2600,29.76,2976,100742,3.087868,AA 55 A0 0B 86 89 01 00 A1 9F 45 40 0D 0A
131,2620,29.65,2965,100786,3.105166,AA 55 95 0B B2 89 01 00 08 BB 46 40 0D 0A
132,2640,29.52,2952,100831,3.123664,AA 55 88 0B DF 89 01 00 1E EA 47 40 0D 0A
133,2660,29.38,2938,100878,3.143250,AA 55 7A 0B 0E 8A 01 00 04 2B 49 40 0D 0A
134,2680,29.22,2922,100925,3.163803,AA 55 6A 0B 3D 8A 01 00 BF 7B 4A 40 0D 0A
135,2700,29.05,2905,100972,3.185195,AA 55 59 0B 6C 8A 01 00 3C DA 4B 40 0D 0A
136,2720,28.85,2885,101021,3.207295,AA 55 45 0B 9D 8A 01 00 52 44 4D 40 0D 0A
137,2740,28.64,2864,101070,3.229966,AA 55 30 0B CE 8A 01 00 C5 B7 4E 40 0D 0A
138,2760,28.42,2842,101119,3.253070,AA 55 1A 0B FF 8A 01 00 4B 32 50 40 0D 0A
139,2780,28.19,2819,101169,3.276462,AA 55 03 0B 31 8B 01 00 8F B1 51 40 0D 0A
140,2800,27.94,2794,101218,3.300000,AA 55 EA 0A 62 8B 01 00 33 33 53 40 0D 0A
141,2820,27.68,2768,101269,3.323538,AA 55 D0 0A 95 8B 01 00 D8 B4 54 40 0D 0A
142,2840,27.41,2741,101319,3.346930,AA 55 B5 0A C7 8B 01 00 1B 34 56 40 0D 0A
143,2860,27.13,2713,101369,3.370034,AA 55 99 0A F9 8B 01 00 A1 AE 57 40 0D 0A
144,2880,26.84,2684,101419,3.392705,AA 55 7C 0A 2B 8C 01 00 15 22 59 40 0D 0A
145,2900,26.55,2655,101469,3.414805,AA 55 5F 0A 5D 8C 01 00 2A 8C 5A 40 0D 0A
146,2920,26.24,2624,101519,3.436197,AA 55 40 0A 8F 8C 01 00 A7 EA 5B 40 0D 0A
147,2940,25.94,2594,101569,3.456750,AA 55 22 0A C1 8C 01 00 63 3B 5D 40 0D 0A
148,2960,25.63,2563,101617,3.476336,AA 55 03 0A F1 8C 01 00 48 7C 5E 40 0D 0A
149,2980,25.31,2531,101666,3.494834,AA 55 E3 09 22 8D 01 00 5E AB 5F 40 0D 0A
150,3000,25.00,2500,101714,3.512132,AA 55 C4 09 52 8D 01 00 C5 C6 60 40 0D 0A
151,3020,24.69,2469,101761,3.528122,AA 55 A5 09 81 8D 01 00 BF CC 61 40 0D 0A
152,3040,24.37,2437,101807,3.542705,AA 55 85 09 AF 8D 01 00 AE BB 62 40 0D 0A
153,3060,24.06,2406,101853,3.555792,AA 55 66 09 DD 8D 01 00 19 92 63 40 0D 0A
154,3080,23.76,2376,101898,3.567302,AA 55 48 09 0A 8E 01 00 AD 4E 64 40 0D 0A
155,3100,23.45,2345,101941,3.577164,AA 55 29 09 35 8E 01 00 41 F0 64 40 0D 0A
156,3120,23.16,2316,101984,3.585317,AA 55 0C 09 60 8E 01 00 D5 75 65 40 0D 0A
157,3140,22.87,2287,102025,3.591711,AA 55 EF 08 89 8E 01 00 98 DE 65 40 0D 0A
158,3160,22.59,2259,102066,3.596307,AA 55 D3 08 B2 8E 01 00 E3 29 66 40 0D 0A
159,3180,22.32,2232,102104,3.599075,AA 55 B8 08 D8 8E 01 00 40 57 66 40 0D 0A
160,3200,22.06,2206,102142,3.600000,AA 55 9E 08 FE 8E 01 00 66 66 66 40 0D 0A
161,3220,21.81,2181,102178,3.599075,AA 55 85 08 22 8F 01 00 40 57 66 40 0D 0A
162,3240,21.58,2158,102213,3.596307,AA 55 6E 08 45 8F 01 00 E3 29 66 40 0D 0A
163,3260,21.36,2136,102246,3.591711,AA 55 58 08 66 8F 01 00 98 DE 65 40 0D 0A
164,3280,21.15,2115,102277,3.585317,AA 55 43 08 85 8F 01 00 D5 75 65 40 0D 0A
165,3300,20.95,2095,102307,3.577164,AA 55 2F 08 A3 8F 01 00 41 F0 64 40 0D 0A
166,3320,20.78,2078,102335,3.567302,AA 55 1E 08 BF 8F 01 00 AD 4E 64 40 0D 0A
167,3340,20.62,2062,102361,3.555792,AA 55 0E 08 D9 8F 01 00 19 92 63 40 0D 0A
168,3360,20.48,2048,102386,3.542705,AA 55 00 08 F2 8F 01 00 AE BB 62 40 0D 0A
169,3380,20.35,2035,102408,3.528122,AA 55 F3 07 08 90 01 00 BF CC 61 40 0D 0A
170,3400,20.24,2024,102429,3.512132,AA 55 E8 07 1D 90 01 00 C5 C6 60 40 0D 0A
171,3420,20.16,2016,102448,3.494834,AA 55 E0 07 30 90 01 00 5E AB 5F 40 0D 0A
172,3440,20.09,2009,102464,3.476336,AA 55 D9 07 40 90 01 00 48 7C 5E 40 0D 0A
173,3460,20.04,2004,102479,3.456750,AA 55 D4 07 4F 90 01 00 63 3B 5D 40 0D 0A
174,3480,20.01,2001,102492,3.436197,AA 55 D1 07 5C 90 01 00 A7 EA 5B 40 0D 0A
175,3500,20.00,2000,102503,3.414805,AA 55 D0 07 67 90 01 00 2A 8C 5A 40 0D 0A
176,3520,20.01,2001,102511,3.392705,AA 55 D1 07 6F 90 01 00 15 22 59 40 0D 0A
177,3540,20.04,2004,102518,3.370034,AA 55 D4 07 76 90 01 00 A1 AE 57 40 0D 0A
178,3560,20.09,2009,102522,3.346930,AA 55 D9 07 7A 90 01 00 1B 34 56 40 0D 0A
179,3580,20.16,2016,102525,3.323538,AA 55 E0 07 7D 90 01 00 D8 B4 54 40 0D 0A
180,3600,20.24,2024,102525,3.300000,AA 55 E8 07 7D 90 01 00 33 33 53 40 0D 0A
181,3620,20.35,2035,102523,3.276462,AA 55 F3 07 7B 90 01 00 8F B1 51 40 0D 0A
182,3640,20.48,2048,102519,3.253070,AA 55 00 08 77 90 01 00 4B 32 50 40 0D 0A
183,3660,20.62,2062,102513,3.229966,AA 55 0E 08 71 90 01 00 C5 B7 4E 40 0D 0A
184,3680,20.78,2078,102505,3.207295,AA 55 1E 08 69 90 01 00 52 44 4D 40 0D 0A
185,3700,20.95,2095,102495,3.185195,AA 55 2F 08 5F 90 01 00 3C DA 4B 40 0D 0A
186,3720,21.15,2115,102482,3.163803,AA 55 43 08 52 90 01 00 BF 7B 4A 40 0D 0A
187,3740,21.36,2136,102468,3.143250,AA 55 58 08 44 90 01 00 04 2B 49 40 0D 0A
188,3760,21.58,2158,102452,3.123664,AA 55 6E 08 34 90 01 00 1E EA 47 40 0D 0A
189,3780,21.81,2181,102434,3.105166,AA 55 85 08 22 90 01 00 08 BB 46 40 0D 0A
190,3800,22.06,2206,102413,3.087868,AA 55 9E 08 0D 90 01 00 A1 9F 45 40 0D 0A
191,3820,22.32,2232,102391,3.071878,AA 55 B8 08 F7 8F 01 00 A7 99 44 40 0D 0A
192,3840,22.59,2259,102367,3.057295,AA 55 D3 08 DF 8F 01 00 B8 AA 43 40 0D 0A
193,3860,22.87,2287,102341,3.044208,AA 55 EF 08 C5 8F 01 00 4E D4 42 40 0D 0A
194,3880,23.16,2316,102314,3.032698,AA 55 0C 09 AA 8F 01 00 BA 17 42 40 0D 0A
195,3900,23.45,2345,102285,3.022836,AA 55 29 09 8D 8F 01 00 26 76 41 40 0D 0A
196,3920,23.76,2376,102254,3.014683,AA 55 48 09 6E 8F 01 00 91 F0 40 40 0D 0A
197,3940,24.06,2406,102221,3.008289,AA 55 66 09 4D 8F 01 00 CF 87 40 40 0D 0A
198,3960,24.37,2437,102187,3.003693,AA 55 85 09 2B 8F 01 00 84 3C 40 40 0D 0A
199,3980,24.69,2469,102151,3.000925,AA 55 A5 09 07 8F 01 00 27 0F 40 40 0D 0A
200,4000,25.00,2500,102114,3.000000,AA 55 C4 09 E2 8E 01 00 00 00 40 40 0D 0A
201,4020,25.31,2531,102075,3.000925,AA 55 E3 09 BB 8E 01 00 27 0F 40 40 0D 0A
202,4040,25.63,2563,102035,3.003693,AA 55 03 0A 93 8E 01 00 84 3C 40 40 0D 0A
203,4060,25.94,2594,101994,3.008289,AA 55 22 0A 6A 8E 01 00 CF 87 40 40 0D 0A
204,4080,26.24,2624,101952,3.014683,AA 55 40 0A 40 8E 01 00 91 F0 40 40 0D 0A
205,4100,26.55,2655,101908,3.022836,AA 55 5F 0A 14 8E 01 00 26 76 41 40 0D 0A
206,4120,26.84,2684,101864,3.032698,AA 55 7C 0A E8 8D 01 00 BA 17 42 40 0D 0A
207,4140,27.13,2713,101819,3.044208,AA 55 99 0A BB 8D 01 00 4E D4 42 40 0D 0A
208,4160,27.41,2741,101772,3.057295,AA 55 B5 0A 8C 8D 01 00 B8 AA 43 40 0D 0A
209,4180,27.68,2768,101725,3.071878,AA 55 D0 0A 5D 8D 01 00 A7 99 44 40 0D 0A
210,4200,27.94,2794,101678,3.087868,AA 55 EA 0A 2E 8D 01 00 A1 9F 45 40 0D 0A
211,4220,28.19,2819,101629,3.105166,AA 55 03 0B FD 8C 01 00 08 BB 46 40 0D 0A
212,4240,28.42,2842,101580,3.123664,AA 55 1A 0B CC 8C 01 00 1E EA 47 40 0D 0A
213,4260,28.64,2864,101531,3.143250,AA 55 30 0B 9B 8C 01 00 04 2B 49 40 0D 0A
214,4280,28.85,2885,101481,3.163803,AA 55 45 0B 69 8C 01 00 BF 7B 4A 40 0D 0A
215,4300,29.05,2905,101432,3.185195,AA 55 59 0B 38 8C 01 00 3C DA 4B 40 0D 0A
216,4320,29.22,2922,101381,3.207295,AA 55 6A 0B 05 8C 01 00 52 44 4D 40 0D 0A
217,4340,29.38,2938,101331,3.229966,AA 55 7A 0B D3 8B 01 00 C5 B7 4E 40 0D 0A
218,4360,29.52,2952,101281,3.253070,AA 55 88 0B A1 8B 01 00 4B 32 50 40 0D 0A
219,4380,29.65,2965,101231,3.276462,AA 55 95 0B 6F 8B 01 00 8F B1 51 40 0D 0A
220,4400,29.76,2976,101181,3.300000,AA 55 A0 0B 3D 8B 01 00 33 33 53 40 0D 0A
221,4420,29.84,2984,101131,3.323538,AA 55 A8 0B 0B 8B 01 00 D8 B4 54 40 0D 0A
222,4440,29.91,2991,101081,3.346930,AA 55 AF 0B D9 8A 01 00 1B 34 56 40 0D 0A
223,4460,29.96,2996,101033,3.370034,AA 55 B4 0B A9 8A 01 00 A1 AE 57 40 0D 0A
224,4480,29.99,2999,100984,3.392705,AA 55 B7 0B 78 8A 01 00 15 22 59 40 0D 0A
225,4500,30.00,3000,100936,3.414805,AA 55 B8 0B 48 8A 01 00 2A 8C 5A 40 0D 0A
226,4520,29.99,2999,100889,3.436197,AA 55 B7 0B 19 8A 01 00 A7 EA 5B 40 0D 0A
227,4540,29.96,2996,100843,3.456750,AA 55 B4 0B EB 89 01 00 63 3B 5D 40 0D 0A
228,4560,29.91,2991,100797,3.476336,AA 55 AF 0B BD 89 01 00 48 7C 5E 40 0D 0A
229,4580,29.84,2984,100752,3.494834,AA 55 A8 0B 90 89 01 00 5E AB 5F 40 0D 0A
230,4600,29.76,2976,100709,3.512132,AA 55 A0 0B 65 89 01 00 C5 C6 60 40 0D 0A
231,4620,29.65,2965,100666,3.528122,AA 55 95 0B 3A 89 01 00 BF CC 61 40 0D 0A
232,4640,29.52,2952,100625,3.542705,AA 55 88 0B 11 89 01 00 AE BB 62 40 0D 0A
233,4660,29.38,2938,100584,3.555792,AA 55 7A 0B E8 88 01 00 19 92 63 40 0D 0A
234,4680,29.22,2922,100546,3.567302,AA 55 6A 0B C2 88 01 00 AD 4E 64 40 0D 0A
235,4700,29.05,2905,100508,3.577164,AA 55 59 0B 9C 88 01 00 41 F0 64 40 0D 0A
236,4720,28.85,2885,100472,3.585317,AA 55 45 0B 78 88 01 00 D5 75 65 40 0D 0A
237,4740,28.64,2864,100437,3.591711,AA 55 30 0B 55 88 01 00 98 DE 65 40 0D 0A
238,4760,28.42,2842,100404,3.596307,AA 55 1A 0B 34 88 01 00 E3 29 66 40 0D 0A
239,4780,28.19,2819,100373,3.599075,AA 55 03 0B 15 88 01 00 40 57 66 40 0D 0A
240,4800,27.94,2794,100343,3.600000,AA 55 EA 0A F7 87 01 00 66 66 66 40 0D 0A
241,4820,27.68,2768,100315,3.599075,AA 55 D0 0A DB 87 01 00 40 57 66 40 0D 0A
242,4840,27.41,2741,100289,3.596307,AA 55 B5 0A C1 87 01 00 E3 29 66 40 0D 0A
243,4860,27.13,2713,100264,3.591711,AA 55 99 0A A8 87 01 00 98 DE 65 40 0D 0A
244,4880,26.84,2684,100242,3.585317,AA 55 7C 0A 92 87 01 00 D5 75 65 40 0D 0A
245,4900,26.55,2655,100221,3.577164,AA 55 5F 0A 7D 87 01 00 41 F0 64 40 0D 0A
246,4920,26.24,2624,100202,3.567302,AA 55 40 0A 6A 87 01 00 AD 4E 64 40 0D 0A
247,4940,25.94,2594,100186,3.555792,AA 55 22 0A 5A 87 01 00 19 92 63 40 0D 0A
248,4960,25.63,2563,100171,3.542705,AA 55 03 0A 4B 87 01 00 AE BB 62 40 0D 0A
249,4980,25.31,2531,100158,3.528122,AA 55 E3 09 3E 87 01 00 BF CC 61 40 0D 0A
250,5000,25.00,2500,100147,3.512132,AA 55 C4 09 33 87 01 00 C5 C6 60 40 0D 0A
251,5020,24.69,2469,100139,3.494834,AA 55 A5 09 2B 87 01 00 5E AB 5F 40 0D 0A
252,5040,24.37,2437,100132,3.476336,AA 55 85 09 24 87 01 00 48 7C 5E 40 0D 0A
253,5060,24.06,2406,100128,3.456750,AA 55 66 09 20 87 01 00 63 3B 5D 40 0D 0A
254,5080,23.76,2376,100125,3.436197,AA 55 48 09 1D 87 01 00 A7 EA 5B 40 0D 0A
255,5100,23.45,2345,100125,3.414805,AA 55 29 09 1D 87 01 00 2A 8C 5A 40 0D 0A
